p,i,score
1,1,1.8859951916572462
1,2,1.4448237981975094
1,3,0.9454093510278667
1,4,0.898881550374137
1,5,-1.114190077651013
1,6,1.1072861799941438
1,7,0.9129833001019985
1,8,0.7058434352299181
1,9,1.0567771018335668
1,10,1.1473056598762685
1,11,1.0910575935095124
1,12,0.9415678696627945
2,1,0.6842063575916513
2,2,-0.6501662523290372
2,3,-0.729469087226597
2,4,-0.08812003609719687
2,5,-1.7830890119348342
2,6,-1.937175886495554
2,7,-1.3347358731189318
2,8,-0.9281532068457028
2,9,-0.1110197816628764
2,10,-0.21276307707141362
2,11,-0.6989446589252368
2,12,1.0395465520289884
3,1,0.5971267392043997
3,2,0.7721452255719183
3,3,0.24914635922723047
3,4,0.8249547976997537
3,5,0.2536261680362951
3,6,-0.2320268115668052
3,7,-0.7446034912136605
3,8,0.5985537786924795
3,9,0.1339982272436035
3,10,0.5053067394458959
3,11,0.5398280039873083
3,12,1.0283943927639352
4,1,0.3612572573355459
4,2,0.8012902282636141
4,3,-0.24347151888559182
4,4,-0.11696728925623812
4,5,-0.34105690303276415
4,6,-0.18706540511055514
4,7,-0.3089723079397785
4,8,-0.07153843688170629
4,9,-1.109803466871577
4,10,0.6743099208055358
4,11,0.9433054866224984
4,12,1.2249881871187378
5,1,-0.2562091592611062
5,2,1.3170699389281768
5,3,-0.36854424418853077
5,4,0.4916451589670287
5,5,-1.385120025528099
5,6,-0.0028324069524386375
5,7,0.07347848485995345
5,8,-0.288686561667193
5,9,-0.12789218645414596
5,10,-0.6222563026395733
5,11,-0.283392616368977
5,12,0.3627535084546698
6,1,-0.0366341479535528
6,2,-1.210189822214842
6,3,-2.9589781138367894
6,4,-0.918890846718301
6,5,-3.707488966341093
6,6,-3.3921947539660153
6,7,-3.519603840458577
6,8,-2.5696385427936486
6,9,-2.5424242149571885
6,10,-1.6784101228269486
6,11,-2.699724824642754
6,12,-2.4966089226001436
7,1,0.01518337573772649
7,2,1.5677509282911894
7,3,-0.9292966440595725
7,4,-0.6988790099441756
7,5,-1.6889549344794679
7,6,0.6564200699143523
7,7,-1.6171688320963664
7,8,-0.2713860847604529
7,9,-0.8887780246933334
7,10,-0.447795609569163
7,11,-1.006887410979537
7,12,1.1308607108980053
8,1,0.359048951395916
8,2,0.7991019083357767
8,3,-0.158503725008166
8,4,0.9415030947589862
8,5,-1.8401990818742493
8,6,-2.5603559467825487
8,7,-1.6711300010403363
8,8,-1.6459870415181186
8,9,-0.9512077746165205
8,10,0.30250387646301835
8,11,-1.4414331727989267
8,12,-0.26481904485472096
9,1,1.4114722388676642
9,2,1.6699841366693113
9,3,0.059094918719924144
9,4,0.8507641340566381
9,5,-0.407126198327294
9,6,0.605353791601196
9,7,-0.5579414037343526
9,8,0.5480189267931412
9,9,-1.198166205381749
9,10,1.0600482751357811
9,11,0.37301010310547816
9,12,2.869013626284718
10,1,0.6635826034916176
10,2,0.6694027100120031
10,3,0.47897173456876335
10,4,0.4879985466166752
10,5,-1.3463455220950047
10,6,-0.25421786148885284
10,7,-0.6489136053518626
10,8,-1.3055870077116118
10,9,0.6675357463301119
10,10,-0.33499294235313987
10,11,-0.704240624491115
10,12,1.3273158368025457
11,1,0.2655822773337746
11,2,0.5852447579068653
11,3,0.7781873055865425
11,4,-0.40398735633851385
11,5,-1.436409272882098
11,6,0.8769681306427991
11,7,-0.9200129786018417
11,8,-0.8785310704501895
11,9,0.048207386437749356
11,10,0.5376356325205399
11,11,-0.8879052634740032
11,12,0.81434223159914
12,1,0.13612221437915678
12,2,-0.3398280708225393
12,3,-0.601374868275217
12,4,0.9022242375593263
12,5,-0.9797632847374566
12,6,-1.0069604103636165
12,7,-0.7561878370238744
12,8,-0.9862719807799741
12,9,-0.5688642795135329
12,10,0.39688421935390616
12,11,-0.32936593126706515
12,12,1.2379889465332536
13,1,1.0522966005308831
13,2,0.28368244288283395
13,3,-0.4536946249953751
13,4,-0.6220412008906487
13,5,-0.6570341360324361
13,6,0.964751651230934
13,7,-1.6282557699047004
13,8,-0.24845202676152092
13,9,0.41346187799496026
13,10,0.1418571496899585
13,11,-0.8226830880673246
13,12,0.38841228601343203
14,1,1.624731942072077
14,2,0.6915811853847506
14,3,0.7193257227172083
14,4,-0.23277236125595405
14,5,-0.1940557915637412
14,6,0.38586069660313627
14,7,-0.48001197336508633
14,8,0.506239671574048
14,9,-0.20707125562456483
14,10,0.03648988272183379
14,11,-0.2536332821425372
14,12,1.0232063826636941
15,1,-1.6977938066998686
15,2,-1.6090495156947147
15,3,-3.0318567509782444
15,4,-1.4276971496900948
15,5,-4.003631661586668
15,6,-2.844264471578708
15,7,-3.425515656402515
15,8,-1.4682705549555464
15,9,-1.8809385707945259
15,10,-1.6092460495629972
15,11,-3.9488216232930387
15,12,-1.4936032141119786
16,1,3.1105450744218714
16,2,3.3856446164505236
16,3,0.054673783461374637
16,4,0.16005841794715692
16,5,-0.4803166959566958
16,6,0.6202594871172686
16,7,1.5910996477580057
16,8,1.582590961617932
16,9,2.866761710395773
16,10,2.0001565168584747
16,11,1.0826832614075548
16,12,3.7952288001985597
17,1,2.1125067946599057
17,2,2.1753023930194346
17,3,1.482644278571518
17,4,0.9149894759834324
17,5,0.0015535344127292072
17,6,1.6093267665196107
17,7,-1.022259000763328
17,8,0.5445581939769841
17,9,0.2828047831099083
17,10,0.5024193012140833
17,11,0.050040296114239546
17,12,2.1887633279556735
18,1,1.1585219140040504
18,2,0.5007264456882178
18,3,0.7439764822053274
18,4,1.0063737141683096
18,5,-0.3201058988101993
18,6,0.7049875253998833
18,7,0.7978690523070255
18,8,-0.3363246106884216
18,9,0.0744538503081486
18,10,1.2493406466678991
18,11,0.6156926919485306
18,12,2.3131423523868744
19,1,0.14040984501069523
19,2,0.6847052013201549
19,3,0.09747905832937975
19,4,-0.8499993990836952
19,5,-0.44038473640084486
19,6,-1.0813093471788988
19,7,-2.2207030057463655
19,8,-0.974221553251005
19,9,-0.38573791989936
19,10,-0.766321178198542
19,11,-1.5392618229826263
19,12,0.044630909953980225
20,1,2.4281528428973376
20,2,0.2851810433762134
20,3,-0.6581353425739339
20,4,0.23444963945529274
20,5,0.5707444851158285
20,6,1.5505798541520357
20,7,-0.17216966820382795
20,8,0.6394479453135041
20,9,1.4021877630040034
20,10,1.545976249735684
20,11,1.0390185066152244
20,12,2.147296310458556
21,1,0.8530268293149926
21,2,-0.27093554890793636
21,3,1.267352523326594
21,4,-0.009469764430728056
21,5,-0.8535953409956432
21,6,-1.047176933916869
21,7,-0.8563981412218284
21,8,0.11790950045218679
21,9,0.049963233157499384
21,10,0.37135616566581303
21,11,-1.2660727470890538
21,12,1.3351964649183348
22,1,0.4306477168800406
22,2,-0.26118489665660194
22,3,0.3867100641882412
22,4,0.29480299988534925
22,5,-1.547798921276669
22,6,0.2623901897174118
22,7,-1.7378724272313566
22,8,1.2078346029549814
22,9,-1.541214524683839
22,10,0.5809783069830344
22,11,-0.34703688771256636
22,12,0.32825535948941886
23,1,-0.20763171339831477
23,2,-0.610984366562469
23,3,-0.20864443013414435
23,4,-1.7157847186676958
23,5,-1.3256004337618037
23,6,-0.7707076275547665
