group,weeks,wellbeing
control,8,36.3783
control,7,49.3756
control,2,0
control,3,35.8527
control,7,22.1025
control,0,21.3476
control,6,40.6822
control,10,55.5319
control,3,26.0998
control,7,42.5249
control,0,20.7732
control,8,40.5345
control,3,0
control,10,17.1082
control,2,35.5967
control,4,0
control,7,0
control,0,30.9578
control,4,30.7219
control,0,41.6966
control,4,10.4413
control,4,14.5526
control,3,33.1232
control,1,40.8123
control,5,33.2625
control,2,6.8861
control,5,29.3352
control,2,32.1259
control,0,45.3024
control,7,40.6575
control,11,46.6738
control,2,15.4504
control,9,22.9324
control,0,23.9079
control,7,37.3787
control,5,60.1437
control,3,14.3044
control,6,16.6054
control,9,48.6829
control,5,22.3254
control,4,24.2789
control,10,46.1418
control,5,0
control,5,17.7207
control,1,20.8257
control,0,17.9851
control,11,23.8842
control,4,45.9606
control,6,22.0867
control,3,0
control,12,0
control,8,7.4682
control,11,42.0063
control,11,67.2302
control,6,29.7004
control,9,20.6178
control,9,61.0651
control,1,29.7081
control,11,39.4649
control,2,37.9946
control,4,60.4925
control,11,48.3712
control,7,38.1023
control,5,18.3932
control,5,40.2487
control,1,18.5213
control,8,38.5511
control,6,17.6012
control,7,23.377
control,8,9.9368
control,11,18.6323
control,5,29.6439
control,9,25.8351
control,10,43.1117
control,2,22.1588
control,8,7.4832
control,9,28.1582
control,7,23.6439
control,2,16.9792
control,11,33.2662
control,1,12.7461
control,11,50.9857
control,9,23.0033
control,12,0
control,1,19.3659
control,12,52.0936
control,7,0
control,11,57.5128
control,2,48.9032
control,3,28.1353
control,11,3.973
control,9,24.1148
control,9,20.6078
control,3,22.0555
control,4,52.7794
control,4,18.9707
control,9,20.1799
control,4,37.356
control,8,46.0039
control,4,23.8312
control,1,32.7345
control,10,43.9193
control,5,0
control,1,16.3959
control,2,40.8511
control,2,2.7964
control,8,0
control,7,38.6739
control,3,0
control,7,33.0062
control,5,43.6236
control,10,34.2172
control,1,24.6126
control,4,30.3757
control,2,11.296
control,1,0
control,7,25.9625
control,2,39.6825
control,2,19.6096
control,9,31.3404
treated,5,74.6542
treated,2,30.0311
treated,7,43.2581
treated,9,0
treated,5,38.6828
treated,1,30.2937
treated,5,49.891
treated,6,57.9522
treated,0,27.5536
treated,5,42.4388
treated,5,42.7105
treated,8,30.8595
treated,0,39.2885
treated,1,74.5299
treated,11,35.6352
treated,0,26.2893
treated,2,48.0382
treated,6,41.6478
treated,7,44.4379
treated,4,60.7256
treated,8,60.1956
treated,3,60.7146
treated,6,54.9615
treated,8,33.8389
treated,11,61.7459
treated,1,19.8029
treated,2,53.3389
treated,8,74.2466
treated,8,19.5555
treated,1,41.6155
treated,2,51.1989
treated,1,36.1357
treated,12,68.8456
treated,6,27.8696
treated,9,73.8127
treated,9,46.0107
treated,4,66.9882
treated,8,36.6084
treated,9,73.9068
treated,0,49.3587
treated,1,40.6058
treated,6,68.6275
treated,11,59.3559
treated,1,33.5783
treated,1,40.006100000000004
treated,5,43.1409
treated,1,37.4068
treated,5,41.6119
treated,6,30.5853
treated,1,59.1554
treated,10,66.8558
treated,9,35.7436
treated,6,30.4378
treated,9,80.259
treated,3,0
treated,7,58.9181
treated,11,86.3059
treated,11,59.5869
treated,12,31.4913
treated,6,21.8388
treated,0,53.4248
treated,3,51.2573
treated,11,48.821
treated,8,42.2934
treated,4,75.379
treated,3,0
treated,10,37.9429
treated,2,0
treated,0,35.0521
treated,5,51.9231
treated,5,12.6815
treated,1,40.4192
treated,2,26.0906
treated,11,69.0801
treated,4,29.82
treated,4,50.6566
treated,2,41.0158
treated,7,27.0847
treated,8,59.8312
treated,2,50.4322
treated,11,45.6624
treated,8,71.6665
treated,4,31.6045
treated,12,64.7826
treated,5,59.1666
treated,9,61.3043
treated,2,63.3724
treated,12,53.9567
treated,10,39.8215
treated,7,68.8911
treated,9,36.7578
treated,2,76.6858
treated,1,27.3465
treated,1,14.0284
treated,11,54.8222
treated,7,51.3523
treated,1,28.1194
treated,2,23.7517
treated,2,29.4071
treated,4,65.7266
treated,1,8.7957
treated,8,25.068
treated,1,61.5518
treated,9,66.7672
treated,4,28.6807
treated,10,50.3789
treated,8,60.5256
treated,2,50.6537
treated,3,52.7775
treated,2,45.0595
treated,5,51.2109
treated,2,37.9446
treated,5,54.4056
treated,6,22.0292
treated,11,59.3113
treated,9,64.1894
treated,12,50.982
treated,1,45.0862
treated,2,19.3175
treated,11,43.1701
